TEAM,CONFERENCE,TEAM,CONFERENCE
Coppin St. Eagles,Mid-Eastern Athletic,San Diego,wcc
St. Katherine Firebirds,,San Francisco,wcc
Regis University Rangers,,San Jose State,mwc
Denver Pioneers,Summit,Santa Clara,wcc
Air Force Falcons,Mountain West,Seattle,wac
Coastal Carolina Chanticleers,Sun Belt,Seton Hall,big-east
South Carolina Gamecocks,Southeastern,Siena,maac
Wyoming Cowboys,Mountain West,South Alabama,sun-belt
Lipscomb Bison,Atlantic Sun,South Carolina State,meac
SE Missouri St. Redhawks,Ohio Valley,South Carolina Upstate,big-south
Central Michigan Chippewas,Mid-American,South Carolina,sec
William & Mary Tribe,Colonial Athletic Association,South Dakota State,summit
Tulsa Golden Hurricane,American Athletic Conference,South Dakota,summit
Rogers State Hillcats,,South Florida,aac
Notre Dame Fighting Irish,Atlantic Coast,Southeast Missouri State,ovc
UL Lafayette Ragin' Cajuns,Sun Belt,Southeastern Louisiana,southland
Baylor Bears,Big 12,Southern California,pac-12
Benedictine University (AZ) Redhawks,,SIU Edwardsville,ovc
St. Louis College of Pharmacy Eutectics,,Southern Illinois,mvc
Utah Valley Wolverines,Western Athletic,Southern Methodist,aac
Montana Grizzlies,Big Sky,Southern Mississippi,cusa
Transylvania Pioneers,,Southern Utah,big-sky
Bellarmine Knights,Atlantic Sun,Southern,swac
Howard Payne Yellow Jackets,,St. Bonaventure,atlantic-10
Iowa State Cyclones,Big 12,St. Francis (NY),northeast
Georgia Bulldogs,Southeastern,St. John's (NY),big-east
Texas A&M Aggies,Southeastern,Stanford,pac-12
Alabama A&M Bulldogs,Southwestern Athletic,Stephen F. Austin,southland
Samford Bulldogs,Southern,Stetson,atlantic-sun
Hofstra Pride,Colonial Athletic Association,Stony Brook,america-east
Creighton Bluejays,Big East,Syracuse,acc
Murray St. Racers,Ohio Valley,Tarleton State,wac
Washington Huskies,Pacific-12,Temple,aac
Miami-Florida Hurricanes,Atlantic Coast,Tennessee-Martin,ovc
UC Santa Barbara Gauchos,Big West,Tennessee State,ovc
Winthrop Eagles,Big South,Tennessee Tech,ovc
Duquesne Dukes,Atlantic 10,Tennessee,sec
Campbell Fighting Camels,Big South,Texas A&M-Corpus Christi,southland
Central Florida Knights,American Athletic Conference,Texas A&M,sec
Emmanuel Lions,,Texas-Arlington,sun-belt
Stetson Hatters,Atlantic Sun,Texas Christian,big-12
Iona Gaels,Metro Atlantic Athletic,Texas-El Paso,cusa
Stanford Cardinal,Pacific-12,Texas-Rio Grande Valley,wac
Kent St. Golden Flashes,Mid-American,Texas-San Antonio,cusa
Bacone Warriors,,Texas Southern,swac
Long Beach St. Beach,Big West,Texas State,sun-belt
Stony Brook Seawolves,America East,Texas Tech,big-12
Lincoln PA Lions,,Texas,big-12
Cleveland St. Vikings,Horizon League,Toledo,mac
Dayton Flyers,Atlantic 10,Towson,colonial
Le Tourneau Yellow Jackets,,Troy,sun-belt
Stephen F. Austin Lumberjacks,Southland,Tulane,aac
Judson University Eagles,,Tulsa,aac
Hampton Pirates,Big South,UCLA,pac-12
Florida Gators,Southeastern,Utah State,mwc
Cincinnati Bearcats,American Athletic Conference,Utah Valley,wac
Presbyterian Blue Hose,Big South,Utah,pac-12
Wichita St. Shockers,American Athletic Conference,Valparaiso,mvc
Southern Illinois Salukis,Missouri Valley,Vanderbilt,sec
William Carey Crusaders,,Vermont,america-east
Tenn-Martin Skyhawks,Ohio Valley,Villanova,big-east
Dixie State Trailblazers,Western Athletic,Virginia Commonwealth,atlantic-10
Northwestern Wildcats,Big Ten,VMI,southern
La Sierra University Golden Eagles,,Virginia Tech,acc
CSU Bakersfield Roadrunners,Big West,Virginia,acc
NJIT Highlanders,America East,Wagner,northeast
Delaware Fightin' Blue Hens,Colonial Athletic Association,Wake Forest,acc
Columbia International Rams,,Washington State,pac-12
Utah Utes,Pacific-12,Washington,pac-12
Wright St. Raiders,Horizon League,Weber State,big-sky
Purdue Northwest Pride,,West Virginia,big-12
Newberry Wolves,,Western Carolina,southern
UL Monroe Warhawks,Sun Belt,Western Illinois,summit
East Texas Baptist Tigers,,Western Kentucky,cusa
Western Illinois Leathernecks,Summit,Western Michigan,mac
Washburn Ichaboos,,Wichita State,aac
Niagara Purple Eagles,Metro Atlantic Athletic,William & Mary,colonial
Idaho Vandals,Big Sky,Winthrop,big-south
New Mexico Lobos,Mountain West,Wisconsin,big-ten
Colorado St. Rams,Mountain West,Wofford,southern
Regent University Royals,,Wright State,horizon
Temple Owls,American Athletic Conference,Wyoming,mwc
St. Ambrose Fighting Bees,,Xavier,big-east
Sul Ross St. Lobo,,Yale,ivy
Central Arkansas Bears,Southland,Youngstown State,horizon
Crowley's Ridge College Pioneers,,,
Bluefield College Rams,,,
Salem International Fighting Tigers,,,
Marist Red Foxes,Metro Atlantic Athletic,,
Binghamton Bearcats,America East,,
Lewis Flyers,,,
Loyola-Chicago Ramblers,Missouri Valley,,
Rhode Island College Anchormen,,,
LSU Shreveport ,,,
Rider Broncs,Metro Atlantic Athletic,,
Portland St. Vikings,Big Sky,,
Akron Zips,Mid-American,,
Greensboro Pride,,,
Quincy Hawks,,,
LSU-Alexandria Generals,,,
Adrian College Bulldogs,,,
Northern Arizona Lumberjacks,Big Sky,,
Wagner Seahawks,Northeast,,
Truman State Bulldogs,,,
Indiana St. Sycamores,Missouri Valley,,
Tennessee Volunteers,Southeastern,,
St. Francis (BKN) Terriers,Northeast,,
Tennessee St. Tigers,Ohio Valley,,
Fort Hays State ,,,
Jackson State Tigers,Southwestern Athletic,,
College of Idaho Yotes,,,
Fordham Rams,Atlantic 10,,
Mars Hill Lions,,,
Youngstown St. Penguins,Horizon League,,
Tuskegee Golden Tigers,,,
Fresno Pacific Sunbirds,,,
San Jose St. Spartans,Mountain West,,
McKendree Bearcats,,,
Colorado Christian Cougars,,,
Northern Colorado Bears,Big Sky,,
San Diego Toreros,West Coast,,
Massachusetts Minutemen,Atlantic 10,,
Mount St. Joseph ,,,
Mercyhurst Lakers,,,
Mississippi Rebels,Southeastern,,
Merrimack Warriors,Northeast,,
LIU Sharks,Northeast,,
Northeastern Huskies,Colonial Athletic Association,,
Manhattan Jaspers,Metro Atlantic Athletic,,
Hardin-Simmons Cowboys,,,
Canisius Golden Griffins,Metro Atlantic Athletic,,
Champion Christian Tigers,,,
Milwaukee Panthers,Horizon League,,
Central Baptist Mustangs,,,
Gannon Golden Knights,,,
Siena Saints,Metro Atlantic Athletic,,
CSU Fullerton Titans,Big West,,
IUPUI Jaguars,Horizon League,,
Dalton St. Roadrunners,,,
McMurry War Hawks,,,
Covenant Scots,,,
Yellowstone Christian College Centurions,,,
San Diego Christian Hawks,,,
West Virginia Tech Golden Bears,,,
St. Francis (IL) Fighting Saints,,,
Arlington Baptist College Patriots,,,
DePaul Blue Demons,Big East,,
Bethel (TN) Wildcats,,,
St. Bonaventure Bonnies,Atlantic 10,,
Campbellsville-Harrodsburg Pioneers,,,
Monmouth-NJ Hawks,Metro Atlantic Athletic,,
Trevecca Nazarene Trojans,,,
Texas A&M-Texarkana Eagles,,,
William Jewell Cardinals,,,
Missouri St. Bears,Missouri Valley,,
Concordia (CA) Stingers,,,
Doane Tigers,,,
SAGU American Indian College Warriors,,,
Alice Lloyd Eagles,,,
Dickinson State Blue Hawks,,,
Emporia State Hornets,,,
Webber International Warriors,,,
Kansas Christian Falcons,,,
Malone Pioneers,,,
Maine Black Bears,America East,,
Albany Great Danes,America East,,
Lee University Flames ,,,
Vermont Catamounts,America East,,
Virginia-Wise Highland Cavaliers,,,
Olivet College Comets,,,
Freed-Hardeman Lions,,,
Edward Waters Tigers,,,
Belhaven College Blazers,,,
Paul Quinn Tigers,,,
Virginia Wesleyan Marlins,,,
UC San Diego Tritons,Big West,,
SW Christian University Eagles,,,
Loyola-New Orleans Wolf Pack,,,
Newman Jets,,,
Catawba Indians,,,
Montana Western Bulldogs,,,
Lafayette Leopards,Patriot League,,
Lehigh Mountain Hawks,Patriot League,,
Bucknell Bison,Patriot League,,
Colgate Raiders,Patriot League,,
Alabama St. Hornets,Southwestern Athletic,,
American U. Eagles,Patriot League,,
Loyola (MD) Greyhounds,Patriot League,,
Boston U Terriers,Patriot League,,
Holy Cross Crusaders,Patriot League,,
Carlow University Celtics,,,
Mount Marty Lancers,,,
St. Mary's (TX) Rattlers,,,
Hawaii Rainbow Warriors,Big West,,
Midwestern St. Mustangs,,,
NW Nazarene Nighthawks,,,
Whitworth Pirates,,,
Belmont Abbey Crusaders,,,
St. Martin's Saints,,,
Chowan Hawks,,,
Calvin Knights,,,
Missouri S&T Miners,,,
St. Mary's (MD) Seahawks,,,
Western New Mexico ,,,
Coe College Kohawks,,,
Simpson College Storm,,,
Bluefield State Big Blues,,,
Florida Memorial Lions,,,
Spring Hill Badgers,,,
Lancaster Bible College Chargers,,,
SW Adventist Knights,,,
Rochester College Warriors,,,
Simpson University Red Hawks,,,
Southern Virginia Knights,,,
Columbus State Cougars,,,
Rust College Bearcats,,,
Warner Pacific Knights,,,
Mt. Aloysius Mounties,,,
Vanguard Lions,,,
Northeastern St. RiverHawks,,,
